"NAME","TEL","URL","ADDRESS1","ZIP","longtitude","latitude"
"45th Street Theater","(212) 352-3101","http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/","354 West 45th Street",10036,-73.9906184088258,40.759851154475
"47th Street Theater","(800) 775-1617","http://www.bestofoffbroadway.com/theaters/47streettheatre.html","304 West 47th Street",10036,-73.9881059525377,40.7604712344708
"59E59 TH Theater","(212) 753-5959","http://www.59e59.org/","59 East 59th Street",10022,-73.9703845026014,40.763399427741
"Acorn Theater","(212) 279-4200","http://www.theatrerow.org/theacorn.htm","410 West 42nd Street",10036,-73.9933238462206,40.758536682106
"Al Hirschfeld Theater","(212) 239-6200","http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php","302 W 45th Street",10036,-73.9892143340222,40.7592609121935
"Ambassador Theatre","(800) 432-7565","http://www.shubertorganization.com/theatres/ambassador.asp","219 West 49th Street",10019,-73.9850014103526,40.761258614543
"American Airlines Theatre","(212) 719-9393","http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php","227 W 42nd Street",10036,-73.9880492381235,40.756778744642
"Apollo Theater","(212) 531-5300","http://www.apollotheater.org/","253 West 125th Street",10027,-73.9500398428886,40.810037323898
"Arclight Theatre","(212) 595-0355","http://www.nytheatre.com/nytheatre/arclight.htm","152 W 71st St",10023,-73.9812102882435,40.777119911056
"Astor Place Theatre","(212) 254-4370","http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php","434 Lafayette St",10003,-73.9923438614057,40.729377409189
"Atlantic Theatre","(212) 645-1242","http://www.atlantictheater.org/","336 W 20th St",10011,-74.0015544108381,40.743887692852
"August Wilson Theatre","(212) 239-6200","http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php","245 W 52nd Street",10019,-73.9841995403394,40.763371959308
"Barrow Street Theatre","(212) 243-6262","http://www.barrowstreettheatre.com/index.asp","27 Barrow St",10014,-74.0030882616606,40.732329478227
"Beacon Theatre","(212) 465-6500","http://www.beacontheatre.com/","2124 Broadway",10023,-73.9809928369645,40.780560729659
"Belasco Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/belasco.asp","111 W 44th St",10036,-73.9837860387245,40.756652768312
"Bernard B. Jacobs Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp","242 W 45th Street",10036,-73.9877236609528,40.758629471943
"Bleecker Street Theater","(212) 260-8250","http://www.45bleecker.com/","45 Bleecker Street",10012,-73.9941751264985,40.7259530481578
"Booth Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/booth.asp","222 W 45th St",10036,-73.9870884572964,40.758372971196
"Broadhurst Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/broadhurst.asp","235 W 44th St",10036,-73.9876226580585,40.758264409786
"Broadway Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/broadway.asp","1681 Broadway",10019,-73.9833505463102,40.763270202723
"Brooks Atkinson Theatre","(212) 719-4099","http://www.brooksatkinsontheater.com/","256 W 47th St",10036,-73.9869834269243,40.759957846291
"Castillo Theater","(212) 941-9400","http://www.castillo.org/","543 West 42nd Street",10036,-73.9969636648042,40.760605353863
"Century Center For the Performing Arts","(212) 239-6200","http://www.theatermania.com/new-york/theaters/century-center-for-the-performing-arts_59/","111 E 15th St",10003,-73.9888898741757,40.735167476499
"Cherry Lane Theatre","(212) 989-2020ŒË","http://cherrylanetheatre.org/","38 Commerce Street",10014,-74.0053111886413,40.731262105313
"Circle In the Square Theatre","(212) 307-0388","http://www.circlesquare.org/","1633 Broadway",10019,-73.9845484672401,40.762029457083
"Connelly Theater","(212) 982-2287","http://www.connellycenter.org/theatre.htm","220 E 4th St",10009,-73.9836116754483,40.72357458833
"Cort Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/cort.asp","138 W 48th St",10036,-73.9830562886129,40.759117443725
"Daryl Roth Theatre","(212) 375-1110","http://www.darylroththeatre.com/","101 E 15th St",10003,-73.9893697659201,40.735282800977
"Duke Theatre","(646) 223-3010","http://www.new42.org/duke/duke_home.aspx","229 W. 42nd St",10036,-73.9881722507476,40.756822514019
"Ed Sullivan Theater","(212) 975-4321","http://www.newyorkcitytheatre.com/theaters/edsullivantheater/theater.php","1697 Broadway",10019,-73.9828983891098,40.763806791255
"Ethel Barrymore Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/ethel_barrymore.asp","243 West 47th Street",10036,-73.9861567772657,40.760100477236
"Eugene O'Neill Theater","(888) VISIT-NY","http://www.ibdb.com/venue.php?id=1158","230 W 49th St",10019,-73.9857631096336,40.761077557651
"Gene Frankel Theatre Workshop","(212) 777-1767","http://www.genefrankel.com/presentation_content.html","24 Bond St",10012,-73.9936392811545,40.726670075366
"Gerald Schoenfeld Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/gerald_schoenfeld.asp","236 W 45th Street",10036,-73.9874276944964,40.75850592642
"Gershwin Theatre","(212) 586-6510","http://www.gershwintheatre.com/","222 W 51st St",10019,-73.9851583724093,40.762421293852
"Gramercy Arts Theatre","(212) 889-2850","http://www.theatermania.com/new-york/theaters/gramercy-arts-theatre_657/","138 E 27th St",10016,-73.9825777128951,40.7416528172596
"Greenwich Street Theater","(888) VISIT-NY","http://www.theatermania.com/new-york/theaters/greenwich-street-theatre_196/","547 Greenwich St",10013,-74.0086229506248,40.7272929872204
"Harold Clurman Theater","(888) VISIT-NY","http://www.theatermania.com/new-york/theaters/harold-clurman-theater_695/","412 W 42nd St",10036,-73.9934233360756,40.758535514897
"Helen Hayes Theater","(212) 944-9450","http://www.nytheatre.com/nytheatre/hayes.htm","240 W 44th St",10036,-73.9878393083412,40.757863700562
"Henry Miller Theatre","(212) 719-1300","http://www.roundabouttheatre.org/hmt/","124 W 43rd St",10036,-73.9847139348617,40.755565976773
"Here Theater","(212) 352-3101","http://www.here.org","145 6th Avenue",10013,-74.0049463098174,40.725127591558
"Hilton Theatre","(212) 556-4750","http://www.hiltontheatre.com/home.php?size=1280","214 W 43rd Street",10036,-73.9876193599567,40.756592859927
"Imperial Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/imperial.asp","249 W 45th St",10036,-73.9873408759603,40.758949053205
"Jane Street Theatre","(212) 924-8404","http://www.nyc.com/arts__attractions/jane_street_theatre.98884/editorial_review.aspx","113 Jane St",10014,-74.0093244292804,40.738299398067
"John Golden Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/john_golden.asp","252 W 45th St",10036,-73.9879654893812,40.758720074263
"Julia Miles Theater","(212) 757-3900","http://www.womensproject.org/julia_miles_theater.htm","424 W 55th St",10019,-73.9878990328068,40.766885675808
"Kraine Theater","(888) VISIT-NY","http://www.httheater.org/rentersKRAINE.html","85 E 4th Street",10003,-73.9898004922213,40.7265902010849
"La Mama Experimental Theatre","(212) 475-7710","http://www.lamama.org/","74A East 4th St",10003,-73.9902024168151,40.726327699634
"Lamb's Theatre","(212) 302-7847","http://www.lambstheatre.org/","130 W 44th St",10036,-73.9845837801045,40.7564936832572
"Laura Pels Theater","(212) 719-9393","http://www.nytheatre.com/nytheatre/venue.php?t=laurapels","111 W 46th Street",10001,-73.9824399583143,40.7578678342039
"Lion Theatre","(212) 714-2442","http://www.nytheatre.com/nytheatre/venue.php?t=lion","410 W 42nd St",10036,-73.9934299675191,40.758456001185
"Longacre Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/longacre.asp","220 W 48th St",10036,-73.9859726295956,40.760350226233
"Lucille Lortel Theatre","(212) 924-8782","http://www.lortel.org/llt_theater/","121 Christopher St",10014,-74.0057443463025,40.733356331679
"Lunt-Fontanne Theatre","(212) 575-9200","http://www.luntfontannetheatre.com/","205 W 46th St",10036,-73.9859187304127,40.759180958639
"Lyceum Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/lyceum.asp","149 W 45th St",10036,-73.9845295085824,40.757774781259
"Majestic Theatre","(212) 944-3700","http://www.shubertorganization.com/theatres/majestic.asp","245 W 44th St",10036,-73.9880124689257,40.758412667823
"Manhattan Ensemble Theatre","(212) 925-1900","http://www.met.com/","55 Mercer St",10013,-74.0012085605041,40.721987687822
"Manhattan Theatre Source","(212) 260-4698","http://www.theatresource.org/index.htm","177 MacDougal St",10011,-73.9984046343471,40.7328280902179
"Marquis Theatre","(212) 382-0100","http://www.marquistheatre.com/","1535 Broadway",10036,-73.9858965132798,40.758511605298
"Mazer Theatre","(212) 780-2300","http://www.newyorkcitytheatre.com/theaters/mazertheater/location.php","197 E Broadway",10002,-73.9883523234106,40.713980640486
"McGinn Cazale Theater","(212) 787-3242","http://www.theatermania.com/broadway/theaters/mcginncazale-theater_186/","2162 Broadway",10024,-73.9805552058307,40.781807299241
"Metropolitan Playhouse","(212) 995-8410","http://www.metropolitanplayhouse.org/","220 E 4th St",10009,-73.9836612750336,40.72349764533
