NAME,TEL,URL,ADRESS1,ZIP,longtitude,latitude
Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,10004,-74.0137558,40.70381622
Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,10305,-74.06303179,40.61512084
American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,10032,-73.94729769,40.8338535
American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,10019,-73.97810302,40.76162497
American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,0,-74.03968484,40.69905626
American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,10024,-73.97364816,40.78082623
American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,10013,-74.00701188,40.72352659
Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,10021,-73.96597045,40.76882423
Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,10012,-73.99963037,40.72112745
Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,10021,-73.96428396,40.76983378
Audubon Terrace,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,10032,-73.9465459,40.83358228
Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,10464,-73.8055795,40.87177832
Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,11354,-73.82489046,40.76288633
Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,10467,-73.87974874,40.87823644
Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,10456,-73.91975018,40.83102978
Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,11213,-73.94401601,40.674507
Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,11201,-73.9924054,40.69480297
Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,11238,-73.96358507,40.67108321
Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,10011,-74.00731553,40.7478976
Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,10024,-73.97727392,40.78587092
Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,10012,-73.99883836,40.72074947
Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,10040,-73.93173409,40.86492364
Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,11224,-73.97985598,40.57526324
"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,10128,-73.95778162,40.78432574
Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,10022,-73.9730419,40.76210697
Dia at the Hispanic Society,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street,10032,-73.94649318,40.83330211
Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,10011,-74.00613538,40.74789493
Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,1036,-73.98731864,40.75750109
Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,10013,-74.00290417,40.72245119
Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,10034,-73.92383915,40.86713092
East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery,10012,-73.99272306,40.7249597
El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,10029,-73.9513676,40.79309892
Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,0,-74.04132162,40.69820755
Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,10004,-74.01133926,40.70339928
Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,10021,-73.96708041,40.77105465
Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,10305,-74.07387774,40.61516522
Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,10028,-73.96174204,40.77916564
Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,10128,-73.94306846,40.77611345
Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,10453,-73.91397963,40.85874717
Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,11252,-74.03231078,40.60900867
Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,10032,-73.94682282,40.83345215
Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St,10468,-73.89098784,40.87835786
Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St.,11231,-74.01808694,40.67557193
Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,10036,-74.00089181,40.76478327
Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,11106,-73.93765515,40.76695661
Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,10013,-73.99749411,40.71919463
Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,10013,-74.00664186,40.72335066
Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,10306,-74.13812337,40.57631284
Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,10033,-73.94694495,40.85022003
Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,10128,-73.95718706,40.78540226
John J. Harvey Fireboat,,http://www.fireboat.org/,Pier 66 at West 26th Street,10001,-74.00965484,40.7523302
King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,11432,-73.80376062,40.70304202
Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,11354,-73.82415642,40.76359571
LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,11101,-73.93514568,40.74396007
Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street,10001,-73.98618833,40.74719709
Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,11215,-73.96381416,40.66437996
Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,10036,-73.98870226,40.75631816
Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,10003,-73.99234605,40.72765742
Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,10028,-73.96345111,40.77942354
Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St.,10016,-73.97988118,40.75078437
Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,10016,-73.98132149,40.74929507
Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,10032,-73.93857439,40.83444768
